cycle,elapsed_s,sensor1_id,sensor1_grams,sensor2_id,sensor2_grams,total_weight_1_2,sensor1_raw_i32,sensor2_raw_i32
1,0.011240,1,0.000000,2,0.000000,0.000000,-4839,-5859
2,0.020516,1,0.000000,2,0.000000,0.000000,-4839,-5859
3,0.030050,1,0.000000,2,0.000000,0.000000,-4839,-5859
4,0.039611,1,0.000000,2,0.000000,0.000000,-4839,-5859
5,0.049257,1,0.000000,2,0.000000,0.000000,-4839,-5859
6,0.059171,1,0.000000,2,0.000000,0.000000,-4839,-5859
7,0.069951,1,0.000000,2,0.000000,0.000000,-4839,-5859
8,0.079213,1,0.000000,2,0.000000,0.000000,-4839,-5859
9,0.089102,1,0.000000,2,0.000000,0.000000,-4839,-5859
10,0.098499,1,0.000000,2,0.000000,0.000000,-4839,-5859
11,0.109563,1,0.000000,2,0.000000,0.000000,-4839,-5859
12,0.119125,1,0.000000,2,0.000000,0.000000,-4839,-5859
13,0.128618,1,0.000000,2,0.000000,0.000000,-4839,-5859
14,0.138900,1,0.000000,2,0.000000,0.000000,-4839,-5859
15,0.148867,1,0.000000,2,0.000000,0.000000,-4839,-5859
16,0.158983,1,0.000000,2,0.000000,0.000000,-4839,-5859
17,0.168838,1,0.000000,2,0.000000,0.000000,-4839,-5859
18,0.178124,1,0.000000,2,0.000000,0.000000,-4839,-5859
19,0.187295,1,0.000000,2,0.000000,0.000000,-4839,-5859
20,0.196417,1,0.000000,2,0.000000,0.000000,-4839,-5859
21,0.205739,1,0.000000,2,0.000000,0.000000,-4839,-5859
22,0.215631,1,0.000000,2,0.000000,0.000000,-4839,-5859
23,0.225543,1,0.000000,2,0.000000,0.000000,-4839,-5859
24,0.235231,1,0.000000,2,0.000000,0.000000,-4839,-5859
25,0.245266,1,0.000000,2,0.000000,0.000000,-4839,-5859
26,0.255299,1,0.000000,2,0.000000,0.000000,-4839,-5859
27,0.265329,1,0.000000,2,0.000000,0.000000,-4839,-5859
28,0.274790,1,0.000000,2,0.000000,0.000000,-4839,-5859
29,0.283868,1,0.000000,2,0.000000,0.000000,-4839,-5859
30,0.294252,1,0.000000,2,0.000000,0.000000,-4839,-5859
31,0.304519,1,0.000000,2,0.000000,0.000000,-4839,-5859
32,0.314086,1,0.000000,2,0.000000,0.000000,-4839,-5859
33,0.324353,1,0.000000,2,0.000000,0.000000,-4839,-5859
34,0.333518,1,0.000000,2,0.000000,0.000000,-4839,-5859
35,0.343348,1,0.000000,2,0.000000,0.000000,-4839,-5859
36,0.352843,1,0.000000,2,0.000000,0.000000,-4839,-5859
37,0.362069,1,0.000000,2,0.000000,0.000000,-4839,-5859
38,0.372010,1,0.000000,2,0.000000,0.000000,-4839,-5859
39,0.381558,1,0.000000,2,0.000000,0.000000,-4839,-5859
40,0.391098,1,0.000000,2,0.000000,0.000000,-4839,-5859
41,0.400585,1,0.000000,2,0.000000,0.000000,-4839,-5859
42,0.410417,1,0.000000,2,0.000000,0.000000,-4839,-5859
43,0.420246,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
44,0.429739,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
45,0.439590,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
46,0.449079,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
47,0.459155,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
48,0.468950,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
49,0.478521,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
50,0.488358,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
51,0.498235,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
52,0.507644,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
53,0.517448,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
54,0.526480,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
55,0.536028,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
56,0.545916,1,-1.000000,2,0.000000,-1.000000,-4840,-5859
